City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Coquimbo,CL,2021-12-17 04:35:02,-29.9533,-71.3436,58.73,82,0,4.61
156,Vestmannaeyjar,IS,2021-12-17 04:35:03,63.4427,-20.2734,45.72,83,100,13.67
157,Tura,IN,2021-12-17 04:35:03,25.5198,90.2201,73.51,47,61,1.68
158,Pevek,RU,2021-12-17 04:35:03,69.7008,170.3133,-8.12,83,100,2.13
159,Lebu,CL,2021-12-17 04:35:03,-37.6167,-73.65,52.63,93,7,7.2
160,Teguldet,RU,2021-12-17 04:35:04,57.3064,88.1667,15.62,94,100,6.46
161,Byron Bay,AU,2021-12-17 04:35:04,-28.65,153.6167,80.71,81,50,8.46
162,Norman Wells,CA,2021-12-17 04:26:37,65.282,-126.8329,-21.96,69,1,8.05
163,Georgetown,MY,2021-12-17 04:35:05,5.4112,100.3354,78.75,90,40,10.0
164,Saskylakh,RU,2021-12-17 04:35:05,71.9167,114.0833,-32.08,99,85,2.21
165,Torbay,CA,2021-12-17 04:35:05,47.6666,-52.7314,17.28,79,40,4.61
166,Karpogory,RU,2021-12-17 04:35:06,64.0019,44.4451,12.61,96,100,3.69
167,Yar-Sale,RU,2021-12-17 04:33:13,66.8333,70.8333,-13.18,98,96,9.04
168,Bagdarin,RU,2021-12-17 04:25:13,54.4333,113.6,-1.07,67,99,2.15
169,Waipawa,NZ,2021-12-17 04:30:17,-41.4122,175.5153,57.83,93,50,13.96
170,Conde,BR,2021-12-17 04:35:06,-7.2597,-34.9075,78.26,89,20,6.91
171,Sakakah,SA,2021-12-17 04:26:40,29.9697,40.2064,54.97,63,68,6.29
172,Kaitangata,NZ,2021-12-17 04:25:20,-46.2817,169.8464,61.93,51,53,13.24
173,Port Macquarie,AU,2021-12-17 04:35:07,-31.4333,152.9167,75.88,68,66,7.63
174,Kailua,US,2021-12-17 04:35:07,21.4022,-157.7394,78.78,73,75,11.5
175,Rio Gallegos,AR,2021-12-17 04:31:35,-51.6226,-69.2181,59.05,63,75,5.75
176,Hohhot,CN,2021-12-17 04:35:08,40.8106,111.6522,8.89,43,0,4.47
177,Abbeville,FR,2021-12-17 04:35:08,50.1,1.8333,40.5,93,5,6.04
178,Faanui,PF,2021-12-17 04:35:08,-16.4833,-151.75,81.03,74,26,8.55
179,Chuy,UY,2021-12-17 04:28:59,-33.6971,-53.4616,63.54,84,35,9.33
180,Avera,US,2021-12-17 04:32:45,33.194,-82.5271,61.72,92,91,2.95
181,Fukuma,JP,2021-12-17 04:35:09,33.7667,130.4667,47.16,61,100,25.34
182,Filingue,NE,2021-12-17 04:36:09,14.3521,3.3168,67.12,17,52,9.84
183,San Martin,AR,2021-12-17 04:36:09,-33.081,-68.4681,73.94,70,55,0.58
184,Nuuk,GL,2021-12-17 04:32:43,64.1835,-51.7216,0.05,86,47,6.42
185,Wrexham,GB,2021-12-17 04:36:10,53.0,-3.0,47.39,95,0,1.57
186,Miri,MY,2021-12-17 04:36:10,4.4148,114.0089,86.14,74,40,6.91
187,College,US,2021-12-17 04:26:38,64.8569,-147.8028,4.95,81,90,0.0
188,Mar Del Plata,AR,2021-12-17 04:36:11,-38.0023,-57.5575,64.87,88,0,13.0
189,Mayo,US,2021-12-17 04:36:11,38.8876,-76.5119,64.81,64,20,8.01
190,Sisimiut,GL,2021-12-17 04:30:21,66.9395,-53.6735,10.08,82,60,10.27
191,Ugoofaaru,MV,2021-12-17 04:36:11,5.6667,73.0,82.33,73,46,8.28
192,Callaway,US,2021-12-17 04:36:12,30.153,-85.5699,66.9,97,1,1.01
193,Ojinaga,MX,2021-12-17 04:36:12,29.5667,-104.4167,58.57,38,1,8.05
194,Boyolangu,ID,2021-12-17 04:36:12,-8.1181,111.8935,85.87,72,93,3.31
195,Nelson Bay,AU,2021-12-17 04:36:13,-32.7167,152.15,78.76,63,56,3.0
196,Mount Gambier,AU,2021-12-17 04:30:16,-37.8333,140.7667,89.51,14,81,14.97
197,Grindavik,IS,2021-12-17 04:36:13,63.8424,-22.4338,43.27,75,75,17.27
198,Codrington,AU,2021-12-17 04:36:13,-38.2667,141.9667,82.62,27,67,11.65
199,Ayotzintepec,MX,2021-12-17 04:36:14,17.6667,-96.1333,69.46,95,11,2.93
200,Hermanus,ZA,2021-12-17 04:36:14,-34.4187,19.2345,57.79,67,0,25.72
201,Mitsamiouli,KM,2021-12-17 04:36:15,-11.3847,43.2844,82.69,65,20,12.66
