City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Catuday,PH,75.72,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
413,Qui Nhon,VN,72.32,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
414,Pangkalanbuun,ID,73.74,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
416,Gigmoto,PH,78.58,broken clouds,13.7796,124.39,Cj's Travellers Inn
417,Amapa,BR,81.86,broken clouds,1.0,-52.0,
418,Dingle,PH,75.04,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
420,Gold Coast,AU,75.27,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
422,Beboto,TD,72.3,clear sky,8.2668,16.939,
433,Gorontalo,ID,74.28,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
439,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
443,Abu Dhabi,AE,71.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
445,Saldanha,ZA,75.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
447,Pisco,PE,70.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
449,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,La Caz Oceane
451,Mozarlandia,BR,81.05,moderate rain,-14.7447,-50.5706,Hotel Santa Mônica
454,Nokaneng,BW,73.69,overcast clouds,-19.6667,22.2667,
455,Santa Rosa,PH,76.98,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
456,Gorahun,SL,77.32,scattered clouds,7.4661,-11.2375,
457,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
458,Inverell,AU,74.1,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
464,Meulaboh,ID,75.81,overcast clouds,4.1363,96.1285,Kost Pria
469,Auki,SB,78.35,overcast clouds,-8.7676,160.7034,Auki Motel
475,Byron Bay,AU,75.15,broken clouds,-28.65,153.6167,Backpackers Inn
476,Inhambane,MZ,72.3,overcast clouds,-23.865,35.3833,Oceano
477,Yeppoon,AU,74.98,few clouds,-23.1333,150.7333,Villa Mar Colina
480,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
485,Djambala,CG,74.14,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
486,Kontagora,NG,74.88,few clouds,10.3999,5.4695,Queens Guest Inn
487,Tonantins,BR,82.06,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
491,Carutapera,BR,80.92,overcast clouds,-1.195,-46.02,Lidera
493,Sola,VU,80.49,overcast clouds,-13.8833,167.55,Leumerus Bungalows
494,Itarema,BR,81.14,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
500,Rocha,UY,78.55,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
504,Moanda,GA,76.6,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
517,Lorengau,PG,81.77,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
520,Caxito,AO,77.65,scattered clouds,-8.5785,13.6643,
521,Matara,LK,75.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
526,Valparaiso,CL,73.63,clear sky,-33.0393,-71.6273,Hotel Ultramar
527,Negombo,LK,75.25,clear sky,7.2083,79.8358,Hotel Sunset Beach
528,Acarau,BR,81.45,broken clouds,-2.8856,-40.12,castelo pizzaria
535,Ambilobe,MG,78.12,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
542,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
545,Waingapu,ID,80.17,light rain,-9.6567,120.2641,Pondok Wisata Elim
547,Pundaguitan,PH,81.61,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
549,Wattegama,LK,70.61,scattered clouds,6.7989,81.4808,
550,Sambava,MG,74.17,overcast clouds,-14.2667,50.1667,Melrose
