City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Agirish,RU,2021-12-19 20:27:26,light snow,61.9247,63.0231,-0.71,96,100,10.09
217,Guerrero Negro,MX,2021-12-19 20:27:26,clear sky,27.9769,-114.0611,65.79,27,0,3.49
218,Lebu,CL,2021-12-19 20:27:26,few clouds,-37.6167,-73.65,62.22,78,16,15.68
219,Hobart,AU,2021-12-19 20:27:27,few clouds,-42.8794,147.3294,59.25,57,20,8.01
220,Thakurgaon,BD,2021-12-19 20:27:27,clear sky,26.0333,88.4667,55.56,43,0,7.16
221,Suileng,CN,2021-12-19 20:27:27,overcast clouds,47.25,127.0833,2.25,97,100,6.31
222,Qaqortoq,GL,2021-12-19 20:27:28,overcast clouds,60.7167,-46.0333,38.01,52,100,23.96
223,Fort-Shevchenko,KZ,2021-12-19 20:27:28,scattered clouds,44.5086,50.263,38.43,77,38,7.72
224,Salta,AR,2021-12-19 20:27:28,scattered clouds,-24.7859,-65.4117,95.29,33,40,4.0
225,Yulara,AU,2021-12-19 20:28:29,clear sky,-25.2406,130.9889,73.24,31,0,8.05
226,Valencia,ES,2021-12-19 20:28:29,overcast clouds,39.3333,-0.8333,50.67,77,97,1.66
227,Aykhal,RU,2021-12-19 20:28:29,overcast clouds,66.0,111.5,-33.59,100,97,9.26
228,Cabo San Lucas,MX,2021-12-19 20:27:06,scattered clouds,22.8909,-109.9124,79.52,64,40,1.99
229,Nishihara,JP,2021-12-19 20:28:30,few clouds,26.1842,127.7558,58.28,63,20,0.0
230,Sungairaya,ID,2021-12-19 20:28:30,overcast clouds,0.7,108.9,77.88,87,100,1.57
231,Kota Tinggi,MY,2021-12-19 20:28:31,overcast clouds,1.7381,103.8999,78.84,96,89,3.49
232,Zhigansk,RU,2021-12-19 20:28:31,overcast clouds,66.7697,123.3711,-37.23,92,100,2.26
233,Sokol,RU,2021-12-19 20:28:31,overcast clouds,59.4617,40.1206,14.49,91,100,12.77
234,Bobrovytsya,UA,2021-12-19 20:28:31,overcast clouds,50.75,31.3833,34.66,87,94,14.12
235,Kidal,ML,2021-12-19 20:26:09,clear sky,18.4411,1.4078,68.83,16,1,10.63
236,Longyearbyen,SJ,2021-12-19 20:28:32,light snow,78.2186,15.6401,26.44,86,75,11.5
237,Nizhniy Tsasuchey,RU,2021-12-19 20:28:32,overcast clouds,50.5167,115.1333,14.29,60,92,16.67
238,Marsabit,KE,2021-12-19 20:28:33,overcast clouds,2.3284,37.9899,66.94,81,98,7.45
239,Salekhard,RU,2021-12-19 20:28:33,overcast clouds,66.53,66.6019,-28.7,97,91,9.19
240,San Quintin,MX,2021-12-19 20:28:33,clear sky,30.4833,-115.95,63.39,39,0,6.78
241,Sao Joao Da Barra,BR,2021-12-19 20:28:34,overcast clouds,-21.6403,-41.0511,77.09,78,90,13.82
242,Catamarca,AR,2021-12-19 20:28:34,broken clouds,-28.4696,-65.7852,95.05,35,60,4.0
243,Coahuayana,MX,2021-12-19 20:28:34,overcast clouds,18.7333,-103.6833,76.48,46,100,5.97
244,Evensk,RU,2021-12-19 20:28:34,clear sky,61.95,159.2333,-22.45,74,7,9.15
245,Luanda,AO,2021-12-19 20:28:35,scattered clouds,-8.8368,13.2343,77.0,83,40,10.36
246,Qinzhou,CN,2021-12-19 20:28:35,overcast clouds,21.95,108.6167,62.56,31,100,5.5
247,Tyazhinskiy,RU,2021-12-19 20:28:36,overcast clouds,56.116,88.524,-0.51,94,100,9.53
248,Castrovillari,IT,2021-12-19 20:28:36,clear sky,39.8203,16.2123,43.11,83,2,7.34
249,Ahuimanu,US,2021-12-19 20:28:36,broken clouds,21.4447,-157.8378,78.51,79,75,16.11
250,Mandalgovi,MN,2021-12-19 20:28:37,clear sky,45.7625,106.2708,11.79,71,3,5.99
251,Viedma,AR,2021-12-19 20:28:37,clear sky,-40.8135,-62.9967,91.22,16,0,12.8
252,Kajaani,FI,2021-12-19 20:28:37,light shower snow,64.2273,27.7285,8.65,78,40,9.22
253,Mayna,RU,2021-12-19 20:28:38,light snow,54.1135,47.6231,23.72,93,100,15.97
254,Alcantara,BR,2021-12-19 20:28:38,moderate rain,-2.4089,-44.4147,86.2,74,100,10.56
255,Upernavik,GL,2021-12-19 20:28:38,overcast clouds,72.7868,-56.1549,27.77,87,100,4.81
256,Gimbi,ET,2021-12-19 20:28:39,scattered clouds,9.1667,35.8333,56.62,83,35,3.4
257,Naftalan,AZ,2021-12-19 20:28:39,clear sky,40.5067,46.825,38.62,71,0,2.51
258,Banepa,NP,2021-12-19 20:28:39,mist,27.6298,85.5214,41.32,93,20,2.3
